Ticket;Nombre comun;Fecha;evento;Ciudad;Vereda;Arboles;Hectareas
1139;Quiebrabarrigo, Suribio, Matarratón, Chocho, Guadua, Samán;9/10/2021 0:00;Siembra relacionada al contrato No. 110-CNT2011-148;Amalfi;La Vibora;73;0.146
1161;Quiebrabarrigo, Suribio, Matarratón, Chocho, Guadua, Samán;09/17/2021 12:00:00 AM;Obligación contractual 110-CNT2011-148;Amalfi;La Vibora;72;0.144
693;Guayacán de Manizalez, Acacia Rosada, Guacimo, Tambor;12/14/2020 12:00:00 AM;CONVENIO 040-COV2010-184  CORREGIMIENTO PORTACHUELO;Amalfi;Portachuelo;70;0.14
1710;Tambor, Almendro;3/03/2022 0:00;Enajenar a título gratuito al Municipio de Amalfi, recurso maderable objeto de decomiso definitivo y posterior disposición final  040-COV2106-25;Amalfi;Tintacita;200;0.4
883;Arbol del pan;04/29/2021 12:00:00 AM;adopta un arbol por la vida;Andes;Cabecera Municipal;1;0.002
383;Cedro rosado, Guayacan Amarillo, Guamo, Balso, Carbonero, Nogal Cafetero;12/11/2020 0:00;Sembratón;Andes;Cabecera Municipal;56;0.112
382;Guayacán Amarillo, Cedro Amarillo, Gualanday;12/04/2020 0:00;040-COV2010-175/MUNICIPIO DE ANDES Y JAC ALIANZA CÍVICA TAPARTÓ;Andes;Cabecera Municipal;40;0.08
431;Guayacán Amarillo, Cedro de Altura, Gualanday, Nogal Cafetero;12/11/2020 0:00;040-COV2010-175/MUNICIPIO DE ANDES Y JAC ALIANZA CÍVICA CAMPESINA TAPARTÓ;Andes;Cabecera Municipal;40;0.08
889;velero;04/29/2021 12:00:00 AM;adopta un árbol por la vida;Andes;Cabecera Municipal;2;0.004
1515;Suribio, Guamo Liso, Carbonero, Aguacatillo;12/06/2021 0:00;Siembra Ecoparque;Andes;Alto Cañaveral;146;0.292
971;clitoria, Zapote;04/29/2021 12:00:00 AM;ADOPTA UN ARBOL POR LA VIDA;Andes;Barcino;6;0.012
914;velero;04/29/2021 12:00:00 AM;ADOPTA UN ARBOL POR LA VIDA;Andes;El Barcinto;3;0.006
969;clitoria;04/29/2021 12:00:00 AM;adopta un arbol por la vida;Andes;El Líbano;3;0.006
968;Zapote, Algarrobo;04/29/2021 12:00:00 AM;ADOPTA UN ARBOL POR LA VIDA;Andes;La Ermita;2;0.004
1290;Guayacan Amarillo, Suribio, Chumbimbo, Algarrobo;10/12/2021 0:00;SEMBRATON 12 DE OCTUBRE;Andes;La Piedra;1000;2
1711;Piñón de Oreja, Nispero, Madroño, Mestizo, Tautano Trompillo, Guamo Churimo, Guayabo Comun, Tulipan;02/15/2022 12:00:00 AM;Obligación Contractual;Andes;La Pradera;46;0.092
647;Bauhinia picta, Tulipán Africano, Guayacán Amarillo;02/13/2021 12:00:00 AM;Siembra Cumplimiento Cláusula Quinta Numeral 12 Contrato No.190-CNT2101-21;Andes;La Pradera;40;0.08
645;Bauhinia picta, Tulipán Africano, Guayacán Amarillo;02/13/2021 12:00:00 AM;Siembra Cumplimiento Cláusula Quinta Numeral 08 Contrato No.190-CNT2101-18;Andes;La Pradera;63;0.126
1670;Guayacan Amarillo, Leucaena, Guamo santafereño, Gualanday, Nogal Cafetero;12/06/2021 0:00;Obligación Contractual;Andes;La Rochela;423;0.846
967;Zapote, clitoria, Algarrobo, Samán;04/29/2021 12:00:00 AM;ADOPTA UN ARBOL POR LA VIDA;Andes;La Solita;6;0.012
605;Guamo, Guayacan Amarillo, Cedro de Altura, totumo, Leucaena, Samán, Aguacatillo;09/25/2020 12:00:00 AM;sembraton;Andes;Las Colonias;1900;3.8
602;Pino Colombiano Romeron, Balso;6/05/2020 0:00;sembraton;Andes;Las Colonias;100;0.2
1085;Guayacán Amarillo;04/24/2021 12:00:00 AM;sembraton;Andes;Las Colonias;50;0.1
599;Balso, Nogal Cafetero;05/16/2020 12:00:00 AM;sembraton;Andes;Las Colonias;2000;4
603;Nogal Cafetero;07/28/2020 12:00:00 AM;sembraton;Andes;Las Colonias;1000;2
911;Quiebrabarrigo;04/29/2021 12:00:00 AM;adopta un árbol por la vida;Andes;Palestina;6;0.012
2269;Quimulá;02/15/2021 12:00:00 AM;SEMBRATON APOYO;Andes;San Agustín;1080;2.16
2268;Sauco de Monte;2/07/2021 0:00;SEMBRATON APOYO;Andes;San Agustín;1000;2
558;Guamo Liso;12/04/2020 0:00;sembraton navideño;Andes;San Agustín;50;0.1
2274;Quiebrabarrigo, Aguacatillo;10/15/2021 12:00:00 AM;SEMBRATON APOYO;Andes;San Agustín;8000;16
572;Cedro Rojo;12/04/2020 0:00;Sembraton Navideña;Andes;San Agustín;50;0.1
557;EUCALIPTO;12/04/2020 0:00;sembraton navideña;Andes;San Agustín;50;0.1
555;Cedro Rojo;12/04/2020 0:00;Sembratón navideña;Andes;San Agustín;50;0.1
2273;Cedro de Altura, Cedro Negro;10/07/2021 0:00;SEMBRATON APOYO;Andes;San Agustín;19000;38
2272;Chirlobirlo;6/09/2021 0:00;SEMBRATON APOYO;Andes;San Agustín;500;1
2271;Sauce;05/21/2021 12:00:00 AM;SEMBRATON APOYO;Andes;San Agustín;1520;3.04
2270;Chachafruto;04/30/2021 12:00:00 AM;SEMBRATON APOYO;Andes;San Agustín;200;0.4
884;Algarrobo;04/29/2021 12:00:00 AM;ADOPTA UN ARBOL POR LA VIDA;Andes;San Antonio;2;0.004
972;Zapote, clitoria;04/29/2021 12:00:00 AM;ADOPTA UN ARBOL POR LA VIDA;Andes;San Antonio;6;0.012
974;clitoria;04/29/2021 12:00:00 AM;ADOPTA UN ARBOL POR LA VIDA;Andes;San Bartolo;6;0.012
890;SAMANES;04/29/2021 12:00:00 AM;ADOPTA UN ARBOL POR LA VIDA;Andes;San Bartolo;2;0.004
313;Balso Blanco, carate rojo, Cordoncillo, Aguacatillo;10/04/2020 0:00;SEMBRATON;Andes;San Perucho;10;0.02
970;Zapote;04/29/2021 12:00:00 AM;Adopta un Árbol por la Vida;Andes;San Perucho;4;0.008
314;Guayacán Amarillo, Puntalanza, Pino Colombiano Romeron, Roble;10/05/2020 0:00;SEMBRATON;Andes;San Perucho;20;0.04
600;Nogal Cafetero;05/29/2020 12:00:00 AM;SEMBRATON;Andes;Santa Elena;2000;4
604;Nogal Cafetero;06/29/2020 12:00:00 AM;sembraton;Andes;Santa Elena;1600;3.2
598;Nogal Cafetero;2/04/2020 0:00;sembraton;Andes;Expansion Urbana;600;1.2
384;Aliso;10/01/2020 0:00;sembraton;Angelópolis;El Nudillo;100;0.2
1778;Quiebrabarrigo, Duraznillo, liberal, Alcaparro Enano, Cordoncillo, yarumo, laurel, Navajuelo, grosello, Guamo Machete, Balso, Roble;09/18/2021 12:00:00 AM;Obligación Contractual;Angelópolis;El Nudillo;34;0.068
1738;EUCALIPTO, laurel, Aguacatillo;3/09/2022 0:00;sembraton;Angelópolis;La Clara;225;0.45
310;carate rojo, Pino Colombiano Romeron, Cordoncillo, Chachafruto, Aguacatillo, Roble;10/01/2020 0:00;SEMBRATON;Angelópolis;La Clara;30;0.06
1779;Guayabo Común, Guayacán de manizales, Escobo, Duraznillo, laurel, Chachafruto, Aguacatillo;09/18/2021 12:00:00 AM;Obligación Contractual;Angelópolis;La Clara;36;0.072
1765;Arrayán de hoja pequeña, Ceiba rosada, laurel Nativo, Níspero Japón, Espadero, Pino Romeron, Aliso;08/29/2021 12:00:00 AM;Obligación Contractual;Angelópolis;Santa Barbara;31;0.062
